Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
81,Exit long,2010-09-21 09:15,EXIT - Basso Stop,12188,1,11096.85,37782.77,9.72,43508.56,11.20,-902.94,-0.23,818653.9,16.37
81,Entry long,2010-09-06 09:15,ENTRY-21L,11096.85,1,11096.85,37782.77,9.72,43508.56,11.20,-902.94,-0.23,818653.9,16.37
82,Exit long,2010-09-27 14:15,EXIT - Basso Stop,12275.1,1,11096.85,40829.74,10.51,44681.06,11.50,-902.94,-0.23,859461.3,17.19
82,Entry long,2010-09-06 09:15,ENTRY-21L,11096.85,1,11096.85,40829.74,10.51,44681.06,11.50,-902.94,-0.23,859461.3,17.19
83,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,18,199743.3,684497.56,9.79,804259,11.50,-16253.01,-0.23,1547454.4,30.95
83,Entry long,2010-09-06 09:15,ENTRY-21L,11096.85,18,199743.3,684497.56,9.79,804259,11.50,-16253.01,-0.23,1547454.4,30.95
84,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,1,11383.95,27974.12,7.02,34627.53,8.69,-199.22,-0.05,1575627.8,31.51
84,Entry long,2010-09-09 14:15,PYR1-1L,11383.95,1,11383.95,27974.12,7.02,34627.53,8.69,-199.22,-0.05,1575627.8,31.51
85,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,1,11754.5,14998.38,3.64,21651.8,5.26,-447.2,-0.11,1590831.9,31.82
85,Entry long,2010-09-13 10:30,PYR2-1L,11754.5,1,11754.5,14998.38,3.64,21651.8,5.26,-447.2,-0.11,1590831.9,31.82
86,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,1,12168,518.65,0.12,7172.06,1.68,-6197.94,-1.45,1591563.4,31.83
86,Entry long,2010-09-16 11:45,PYR3-1L,12168,1,12168,518.65,0.12,7172.06,1.68,-6197.94,-1.45,1591563.4,31.83
87,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,1,12310,-4453.84,-1.03,2199.57,0.51,-8090.42,-1.88,1587325,31.75
87,Entry long,2010-09-20 14:15,PYR4-1L,12310,1,12310,-4453.84,-1.03,2199.57,0.51,-8090.42,-1.88,1587325,31.75
88,Exit long,2010-09-28 11:45,EXIT - Basso Stop,12195,1,12370,-6554.89,-1.51,0,0.00,-6551.47,-1.51,1580986.6,31.62
88,Entry long,2010-09-27 10:30,PYR5-1L,12370,1,12370,-6554.89,-1.51,0,0.00,-6551.47,-1.51,1580986.6,31.62
89,Exit long,2010-10-14 14:15,EXIT - Basso Stop,12632.65,24,304752,-65532.87,-0.61,128226.84,1.20,-104453.16,-0.98,1515453.8,30.31
89,Entry long,2010-10-13 13:00,ENTRY-24L,12698,24,304752,-65532.87,-0.61,128226.84,1.20,-104453.16,-0.98,1515453.8,30.31
