Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
69,Exit long,2017-11-20 19:00,EXIT - Basso Stop,29583,80,2363360,9150,0.04,137783.2,0.58,-23016.8,-0.10,1047278.4,20.95
69,Entry long,2017-11-17 21:00,ENTRY-80L,29542,80,2363360,9150,0.04,137783.2,0.58,-23016.8,-0.10,1047278.4,20.95
70,Exit long,2017-11-23 15:00,EXIT - Basso Stop,29421,80,2358800,-74762.4,-0.32,20206,0.09,-85394,-0.36,972516,19.45
70,Entry long,2017-11-22 21:00,ENTRY-80L,29485,80,2358800,-74762.4,-0.32,20206,0.09,-85394,-0.36,972516,19.45
71,Exit long,2018-01-02 10:00,EXIT - Basso Stop,29175,79,2268485,340533.44,1.50,529807.56,2.33,-29512.43,-0.13,1313049.5,26.26
71,Entry long,2017-12-22 19:00,ENTRY-79L,28715,79,2268485,340533.44,1.50,529807.56,2.33,-29512.43,-0.13,1313049.5,26.26
72,Exit long,2018-01-10 21:00,EXIT - Basso Stop,29332,79,2322284,-73757.56,-0.32,21568.58,0.09,-75601.42,-0.33,1239291.9,24.79
72,Entry long,2018-01-10 16:00,ENTRY-79L,29396,79,2322284,-73757.56,-0.32,21568.58,0.09,-75601.42,-0.33,1239291.9,24.79
73,Exit long,2018-01-12 19:00,EXIT - Basso Stop,29467,83,2445263,-19475.12,-0.08,94843.69,0.39,-31316.31,-0.13,1219816.8,24.40
73,Entry long,2018-01-12 10:00,ENTRY-83L,29461,83,2445263,-19475.12,-0.08,94843.69,0.39,-31316.31,-0.13,1219816.8,24.40
74,Exit long,2018-01-25 17:00,EXIT - Basso Stop,30335,82,2456720,282779.06,1.15,410836.4,1.67,-20483.6,-0.08,1502595.9,30.05
74,Entry long,2018-01-24 11:00,ENTRY-82L,29960,82,2456720,282779.06,1.15,410836.4,1.67,-20483.6,-0.08,1502595.9,30.05
75,Exit long,2018-02-02 19:00,EXIT - Basso Stop,30282,85,2570910,4875.6,0.02,283795.44,1.10,-23904.55,-0.09,1507471.4,30.15
75,Entry long,2018-02-01 17:00,ENTRY-85L,30246,85,2570910,4875.6,0.02,283795.44,1.10,-23904.55,-0.09,1507471.4,30.15
76,Exit long,2018-02-06 19:00,EXIT - Basso Stop,30405,50,1526500,-77733.75,-0.51,2367.5,0.02,-70132.5,-0.46,1429737.6,28.59
76,Entry long,2018-02-06 10:00,ENTRY-50L,30530,50,1526500,-77733.75,-0.51,2367.5,0.02,-70132.5,-0.46,1429737.6,28.59
77,Exit long,2018-02-20 10:00,EXIT - Basso Stop,30582,85,2562750,341388.9,1.33,549036.25,2.14,-84213.75,-0.33,1771126.6,35.42
77,Entry long,2018-02-12 21:00,ENTRY-85L,30150,85,2562750,341388.9,1.33,549036.25,2.14,-84213.75,-0.33,1771126.6,35.42
78,Exit long,2018-02-23 10:00,EXIT - Basso Stop,30460,90,2749230,-105753.15,-0.38,15953.85,0.06,-104646.15,-0.38,1665373.4,33.31
78,Entry long,2018-02-22 22:00,ENTRY-90L,30547,90,2749230,-105753.15,-0.38,15953.85,0.06,-104646.15,-0.38,1665373.4,33.31
79,Exit long,2018-02-26 19:00,EXIT - Basso Stop,30527,88,2692448,-87614.12,-0.33,7657.76,0.03,-74182.24,-0.28,1577759.2,31.56
79,Entry long,2018-02-26 11:00,ENTRY-88L,30596,88,2692448,-87614.12,-0.33,7657.76,0.03,-74182.24,-0.28,1577759.2,31.56
80,Exit long,2018-03-05 22:00,EXIT - Basso Stop,30369,70,2135490,-117906.6,-0.55,12422.55,0.06,-120577.45,-0.56,1459852.8,29.20
80,Entry long,2018-03-02 19:00,ENTRY-70L,30507,70,2135490,-117906.6,-0.55,12422.55,0.06,-120577.45,-0.56,1459852.8,29.20
81,Exit long,2018-03-07 17:00,EXIT - Basso Stop,30545,81,2477385,-57157.65,-0.23,55653.07,0.22,-56936.93,-0.23,1402695,28.05
81,Entry long,2018-03-06 20:00,ENTRY-81L,30585,81,2477385,-57157.65,-0.23,55653.07,0.22,-56936.93,-0.23,1402695,28.05
82,Exit long,2018-03-14 13:00,EXIT - Basso Stop,30420,71,2165997,-83399.09,-0.38,16150.02,0.07,-74729.98,-0.34,1319296,26.39
82,Entry long,2018-03-14 10:00,ENTRY-71L,30507,71,2165997,-83399.09,-0.38,16150.02,0.07,-74729.98,-0.34,1319296,26.39
83,Exit long,2018-03-20 10:00,EXIT - Basso Stop,30334,84,2556960,-114565.08,-0.45,0,0.00,-103504.8,-0.40,1204730.9,24.09
83,Entry long,2018-03-19 23:00,ENTRY-84L,30440,84,2556960,-114565.08,-0.45,0,0.00,-103504.8,-0.40,1204730.9,24.09
84,Exit long,2018-03-21 22:00,EXIT - Basso Stop,30431,60,1830900,-68683.8,-0.37,5245.5,0.03,-66154.5,-0.36,1136047.1,22.72
84,Entry long,2018-03-21 20:00,ENTRY-60L,30515,60,1830900,-68683.8,-0.37,5245.5,0.03,-66154.5,-0.36,1136047.1,22.72
85,Exit long,2018-03-22 15:00,EXIT - Basso Stop,30535,81,2479491,-86324.13,-0.35,0,0.00,-84487.45,-0.34,1049723,20.99
85,Entry long,2018-03-22 13:00,ENTRY-81L,30611,81,2479491,-86324.13,-0.35,0,0.00,-84487.45,-0.34,1049723,20.99
86,Exit long,2018-03-27 14:00,EXIT - Basso Stop,30805,57,1751268,28634.23,0.16,118353.66,0.68,-23006.34,-0.13,1078357.2,21.57
