Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
70,Entry long,2010-07-12 09:15,PYR1-17L,9763,17,165971,81109.21,1.39,150081.02,2.58,-31304.73,-0.54,899576.5,17.99
71,Exit long,2010-07-14 14:15,EXIT - Below ST,9919,9,88254,29381.63,0.95,65896.11,2.13,-11578.14,-0.37,932047,18.64
71,Entry long,2010-07-12 13:00,PYR2-9L,9806,9,88254,29381.63,0.95,65896.11,2.13,-11578.14,-0.37,932047,18.64
72,Exit long,2010-07-20 14:15,EXIT - Below ST,9936.6,46,461380,-182520.22,-1.13,11785.2,0.07,-167005.3,-1.03,749526.75,14.99
72,Entry long,2010-07-19 10:30,ENTRY-46L,10030,46,461380,-182520.22,-1.13,11785.2,0.07,-167005.3,-1.03,749526.75,14.99
73,Exit long,2010-08-04 13:00,EXIT - Below ST,10373.5,27,271620,276947.84,2.91,393063.3,4.13,-112228.2,-1.18,1019021.25,20.38
73,Entry long,2010-07-22 14:15,EOD-ENTRY-27L,10060,27,271620,276947.84,2.91,393063.3,4.13,-112228.2,-1.18,1019021.25,20.38
74,Exit long,2010-08-04 13:00,EXIT - Below ST,10373.5,14,141680,114173.19,2.30,174381.2,3.51,-61284.3,-1.23,1138153.2,22.76
74,Entry long,2010-07-27 13:00,PYR1-14L,10120,14,141680,114173.19,2.30,174381.2,3.51,-61284.3,-1.23,1138153.2,22.76
75,Exit long,2010-08-04 13:00,EXIT - Below ST,10373.5,7,71274,41881.4,1.68,71985.41,2.88,-20869.59,-0.84,1182529.2,23.65
75,Entry long,2010-07-29 14:15,PYR2-7L,10182,7,71274,41881.4,1.68,71985.41,2.88,-20869.59,-0.84,1182529.2,23.65
76,Exit long,2010-09-16 14:15,EXIT - Below ST,12030,31,344002.35,987375.1,8.19,1234896.1,10.25,-34011.33,-0.28,2160509,43.21
76,Entry long,2010-09-06 09:15,ENTRY-31L,11096.85,31,344002.35,987375.1,8.19,1234896.1,10.25,-34011.33,-0.28,2160509,43.21
77,Exit long,2010-09-16 14:15,EXIT - Below ST,12030,16,178800,465805.2,7.44,593558,9.48,-61362,-0.98,2632572.2,52.65
77,Entry long,2010-09-06 13:00,PYR1-16L,11175,16,178800,465805.2,7.44,593558,9.48,-61362,-0.98,2632572.2,52.65
78,Exit long,2010-09-16 14:15,EXIT - Below ST,12030,8,89636.4,224620.33,7.15,288496.72,9.19,-38963.27,-1.24,2860329.8,57.21
78,Entry long,2010-09-06 14:15,PYR2-8L,11204.55,8,89636.4,224620.33,7.15,288496.72,9.19,-38963.27,-1.24,2860329.8,57.21
79,Exit long,2010-10-14 13:00,EXIT - Below ST,12690,39,495222,-45574.62,-0.26,199702.23,1.15,-54187.77,-0.31,2805781.5,56.12
79,Entry long,2010-10-13 13:00,ENTRY-39L,12698,39,495222,-45574.62,-0.26,199702.23,1.15,-54187.77,-0.31,2805781.5,56.12
80,Exit long,2010-10-14 13:00,EXIT - Below ST,12690,20,256394,-108646.79,-1.21,17136.21,0.19,-113063.79,-1.26,2706108.5,54.12
