Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
69,Entry long,2010-01-18 15:15,EOD-ENTRY-15L,9110.25,15,136653.75,-50697.41,-1.06,42968.56,0.90,-57122.69,-1.19,881586.1,17.63
70,Exit long,2010-01-21 09:15,EXIT - Basso Stop,9022.75,7,64086.75,-34689.3,-1.55,9021.48,0.40,-37687.77,-1.68,848018.4,16.96
70,Entry long,2010-01-19 09:15,PYR1-7L,9155.25,7,64086.75,-34689.3,-1.55,9021.48,0.40,-37687.77,-1.68,848018.4,16.96
71,Exit long,2010-02-26 14:15,EXIT - Basso Stop,8734.75,5,43526.25,3636.5,0.24,27089.54,1.78,-1680.46,-0.11,849969.2,17.00
71,Entry long,2010-02-26 11:15,ENTRY-11L,8705.25,5,43526.25,3636.5,0.24,27089.54,1.78,-1680.46,-0.11,849969.2,17.00
72,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9093.75,6,52231.5,79716.1,4.36,108863.45,5.95,-2016.55,-0.11,929041.8,18.58
72,Entry long,2010-02-26 11:15,ENTRY-11L,8705.25,6,52231.5,79716.1,4.36,108863.45,5.95,-2016.55,-0.11,929041.8,18.58
73,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9093.75,5,44091.25,46645.2,3.02,70934.66,4.59,-18315.35,-1.19,976458.6,19.53
73,Entry long,2010-02-26 12:15,PYR1-5L,8818.25,5,44091.25,46645.2,3.02,70934.66,4.59,-18315.35,-1.19,976458.6,19.53
74,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9093.75,5,44351.25,37540.65,2.42,61830.1,3.98,-2552.4,-0.16,1014775.44,20.30
74,Entry long,2010-03-02 09:15,PYR2-5L,8870.25,5,44351.25,37540.65,2.42,61830.1,3.98,-2552.4,-0.16,1014775.44,20.30
75,Exit long,2010-03-15 09:15,EXIT - Basso Stop,9093.75,5,44651.25,27035.4,1.73,51324.85,3.28,-6906.4,-0.44,1042592.2,20.85
75,Entry long,2010-03-02 13:15,PYR3-5L,8930.25,5,44651.25,27035.4,1.73,51324.85,3.28,-6906.4,-0.44,1042592.2,20.85
76,Exit long,2010-03-22 09:15,EXIT - Basso Stop,9214.95,19,175208.5,-10485.87,-0.17,45146.35,0.74,-43597.9,-0.71,1032106.3,20.64
76,Entry long,2010-03-17 10:15,ENTRY-19L,9221.5,19,175208.5,-10485.87,-0.17,45146.35,0.74,-43597.9,-0.71,1032106.3,20.64
77,Exit long,2010-03-30 14:15,EXIT - Basso Stop,9497.75,15,139880.25,85568.94,1.75,141113.34,2.88,-5256.65,-0.11,1116521,22.33
77,Entry long,2010-03-25 14:15,EOD-ENTRY-15L,9325.35,15,139880.25,85568.94,1.75,141113.34,2.88,-5256.65,-0.11,1116521,22.33
